product_family_name,product_id,train_sales_amount,reason_type,reason_message
*Boombox Ipod Classic,21120,33.96,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
*USB Office Glitter Lamp,20739,8.65,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
*USB Office Mirror Ball,20954,25.590000000000003,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
11 PC CERAMIC TEA SET POLKADOT,22139,14.850000000000001,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
15 PINK FLUFFY CHICKS IN BOX,84465,96.51,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
6 HOOK JEWEL STAND LILAC DRESS,84572,8.49,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
6 RABBIT CHAIN EASTER,84447,52.87,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
85123A,21733,0.0,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
?,20956,0.0,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
?????,85142,0.0,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
"ACRYLIC BEAD GARLAND,PINK",35823P,5.9,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
ADJUSTMENT,17109D,0.0,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
AMAZON,22734,0.0,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
AMAZON FEE,AMAZONFEE,-146463.25,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
AMBER BERTIE MOBILE PHONE CHARM,90126C,15.239999999999998,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
AMENDMENT,21523,0.0,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
ANTIQUE SILVER BAUBLE LAMP,23085,83.2,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
AQUA BERTIE GLASS BEAD BAG CHARM,90125B,50.24,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
ARMY CAMO BOOKCOVER TAPE,10124G,13.02,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
ARMY CAMO WRAPPING TAPE,10123G,99.32,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
AS,21214,0.0,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
"ASS RETROSPOOF MUGS,SPORTS",37399,75.0,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
ASS WINDPROOF MARIJUANA LIGHTERS,79140,6.3,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
ASSORTED COLOUR JUMBO PEN,10138,29.32,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
ASSORTED DESIGN FLOWER MUGS,37409,6.8,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
ASSORTED DESIGN GEISHA GIRL MUGS,37408,6.25,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
ASSORTED FRAGRANCE BATH CONFETTI,18010,30.16,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
ASSORTED FRUIT STRAWS,30086C,1.7,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
ASSORTED SANTA CHRISTMAS DECORATION,35071,40.94,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
ASSORTED SHAPED STENCIL FOR HENNA,17061,2.08,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
ASSTD RASTA KEY-CHAINS,17174,1.68,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
Adjust bad debt,B,-136552.02000000002,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
Adjustment by Peter on 24/05/2010 1,ADJUST,-731.0500000000001,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
Amazon sold as set,84937,0.0,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
Amazon sold sets,85175,0.0,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
BAKING MOULD CHOCOLATE CUP CAKES,22937,61.199999999999996,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
BAKING MOULD CUPCAKE CHOCOLATE,22937,30.599999999999998,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
BAROQUEBUTTERFLYEARRINGS,90025C,94.33,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
BENDY COLOUR PENCILS,10109,1.68,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
BIRDCAGE DECORATION MAGIC GARDEN,22252,53.55,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
BIRTHDAY BANNER TAPE,22953,30.0,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
BLACK GLASS TV DOUBLE P/FRAME 15X10,84427B,72.25,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
BLACK ORANGE SQUEEZER,71406C,37.84,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
"BLACK RND BULLET""KEEP CLEAN"" BIN",71434B,5.1,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
BLANKCARD,84206A,9.31,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
BLING KEY RING STAND,85225,17.5,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
